Vgas,Ang,ID,Vgas2,Vwater
0.5,0.04,25,4,25
350,0.04,25,4,25
50,0.241238,8.97687,5,8.97687
280,0.0397274,15.3841,3,15.3841
355,0.25,0.016,3,0.016
15,3.23746,0.885512,1,0.885512
0,0.01,0.1,2,0.1
90,0.00226645,1.5252,5,1.5252
280,1.59993,0.997193,5,0.997193
10,0.01,0.16,5,0.16
290,2.49654,0.154611,1,0.154611
50,2.56699,0.0234618,1,0.0234618
30,0.0433596,0.122948,5,0.122948
5,0.1,1.6,5,1.6
310,0.0063588,6.04296,5,6.04296
0.5,0.16,4,5,4
0.5,0.0025,0.1,5,0.1
85,0.268252,15.7593,4,15.7593
15,0.00238534,37.8057,4,37.8057
359,0.063,10,3,10
0.25,0.063,2.5,5,2.5
359,2.5,2.5,5,2.5
50,0.0223985,3.82187,5,3.82187
5,4,0.025,1,0.025
90,0.00232648,0.925583,5,0.925583
30,1.63494,0.052433,1,0.052433
359,0.004,1,2,1
2,2.5,0.025,5,0.025
270,0.104762,1.03046,4,1.03046
280,1.58906,10.3838,4,10.3838
280,2.53241,0.152871,1,0.152871
330,0.393302,0.0149998,3,0.0149998
290,1.00366,0.392171,4,0.392171
310,2.66084,9.64662,5,9.64662
280,2.58454,0.0980241,1,0.0980241
5,0.01,16,3,16
0.5,0.025,10,3,10
310,0.010208,0.0604296,5,0.0604296
330,2.54686,0.247871,1,0.247871
280,0.0997053,10.0169,3,10.0169
330,0.240967,16.3885,4,16.3885
2,1,6.3,5,6.3
355,0.004,16,3,16
0.5,1,6.3,5,6.3
359,2.6,0.04,1,0.04
85,0.00974575,26.6765,4,26.6765
50,1.53474,0.242292,5,0.242292
15,1.07303,0.361207,5,0.361207
80,0.0572549,10.3372,5,10.3372
0,0.4,1,5,1
50,0.260039,0.0242803,5,0.0242803
20,0.0103039,0.0238709,5,0.0238709
15,0.0772245,24.3298,4,24.3298
10,0.025,10,5,10
270,0.145083,10.539,4,10.539
10,2.5,1,5,1
5,2.5,0.1,5,0.1
5,4,1.6,5,1.6
0.5,0.4,0.63,5,0.63
0,0.025,2.5,3,2.5
20,0.0976392,15.2743,4,15.2743
330,2.30759,2.50533,3,2.50533
70,1.57627,6.28881,5,6.28881
359,0.0016,16,3,16
0,0.1,2.5,3,2.5
280,1.6153,3.78179,4,3.78179
359,0.0016,1.6,2,1.6
0,0.025,0.4,2,0.4
0.5,0.25,6.3,5,6.3
0,0.025,16,3,16
10,2.5,0.16,5,0.16
80,1.48551,2.63609,5,2.63609
1,0.01,2.5,5,2.5
0.5,4,1,5,1
0.25,0.63,25,5,25
70,0.0025706,0.943709,5,0.943709
2,2.5,1,5,1
50,1.01074,3.87814,5,3.87814
70,2.46412,10.1966,5,10.1966
50,1.51801,25.9711,5,25.9711
355,0.004,2.5,3,2.5
270,1.05577,1.11071,5,1.11071
20,0.0958984,0.151588,5,0.151588
30,0.0456418,0.0817247,5,0.0817247
70,0.933322,2.42292,5,2.42292
70,0.00258327,3.94548,5,3.94548
15,0.00542868,10.3873,5,10.3873
10,0.025,16,4,16
350,0.1,1,3,1
10,0.0025,0.63,5,0.63
85,0.0158694,9.94316,5,9.94316
290,0.0655065,16.2531,3,16.2531
